#{"t_start": 1588326508.1600094, "env_id": "MiniGrid-DistShift1-v0"}
r,l,t
0,252,580.727245
0,252,581.227492
0,252,581.732764
0,252,582.23692
0,252,582.91332
0,252,583.42148
0.360714,179,583.782535
0,252,584.292488
0,252,584.985631
0,252,585.494385
0,252,586.004894
0,252,586.509717
0,252,587.18027
0,252,587.672478
0,252,588.180379
0,252,588.682766
0,252,589.363429
0,252,589.859082
0,252,590.375631
0,252,590.885712
0,252,591.394696
0,252,592.105708
0,252,592.608934
0,252,593.118774
0,252,593.622643
0,252,594.303439
0,252,594.816535
0,252,595.316229
0,252,595.83776
0,252,596.528406
0,252,597.057374
0,252,597.562661
0,252,598.072207
0,252,598.759435
0,252,599.265566
0,252,599.76865
0,252,600.294049
0,252,600.984111
0,252,601.502944
0,252,602.005466
0,252,602.509993
0,252,603.195948
0,252,603.708786
0,252,604.229187
0,252,604.746609
0,252,605.467996
0,252,606.005455
0,252,606.536202
0,252,607.066464
0,252,607.740836
0,252,608.257296
0,252,608.777784
0,252,609.294958
0,252,609.967478
0,252,610.483145
0,252,611.007904
0,252,611.521624
0,252,612.198673
0,252,612.709875
0,252,613.212525
0,252,613.736908
0,252,614.417968
0,252,614.928655
0,252,615.449126
0,252,615.957198
0,252,616.618614
0,252,617.139877
0,252,617.656809
0,252,618.158278
0,252,618.886503
0,252,619.40135
0,252,619.913506
0,252,620.416137
0,252,621.086315
0,252,621.58272
0,252,622.080667
0,252,622.578683
0,252,623.2402
0,252,623.73685
0,252,624.229436
0,252,624.741717
0,252,625.417591
0,252,625.921292
0,252,626.403322
0,252,626.900145
0,252,627.407258
0,252,628.096593
0,252,628.598395
0,252,629.096817
0,252,629.612035
0,252,630.291929
0,252,630.788742
0,252,631.298564
0,252,631.797668
0,252,632.505364
0,252,633.018928
0,252,633.521362
0,252,634.033517
0,252,634.706272
0,252,635.216047
0,252,635.70235
0,252,636.204888
0,252,636.880349
0,252,637.380117
0,252,637.892307
0,252,638.405645
0,252,639.0962
0,252,639.591973
0,252,640.09593
0,252,640.604288
0,252,641.268619
0,252,641.766286
0,252,642.266573
0,252,642.771156
0,252,643.440238
0,252,643.942751
0,252,644.43973
0,252,644.931872
0,2,644.935744
0,252,645.638373
0,252,646.145349
0,252,646.645183
0,252,647.155487
0,252,647.829095
0,252,648.330771
0,252,648.829102
0,252,649.334964
0,252,649.996407
0,252,650.493791
0,252,650.998774
0,252,651.508428
0,160,651.834923
0,252,652.530338
0,252,653.031222
0,252,653.53125
0,252,654.042147
0,252,654.694962
0,252,655.208875
0,252,655.703792
0,252,656.202968
0,252,656.874157
0,143,657.160098
0,252,657.664471
0,252,658.180212
0,252,658.88645
0,252,659.396661
0,252,659.900574
0,252,660.396481
0,252,661.062982
0,252,661.568735
0,252,662.075885
0,252,662.581856
0,252,663.249536
0,252,663.755725
0,252,664.257911
0,252,664.766643
0,252,665.448317
0,252,665.957626
0,252,666.464068
0,252,666.962971
0,252,667.623879
0,252,668.133284
0,252,668.63471
0,252,669.146883
0,252,669.644749
0,252,670.321413
0,252,670.812522
0,252,671.311098
0,252,671.800376
0,252,672.522291
0,252,673.018307
0,252,673.527614
0,252,674.031398
0,252,674.70132
0,252,675.187954
0,252,675.677269
0,252,676.175362
0,252,676.856311
0,252,677.360838
0,252,677.853432
0,252,678.351868
0,252,679.070048
0,252,679.570971
0,252,680.087808
0,252,680.584389
0,252,681.254523
0,252,681.755595
0,252,682.253683
0,252,682.750241
0,252,683.413037
0,252,683.909979
0,252,684.416125
0,252,684.925331
0,252,685.65061
0,252,686.157257
0,252,686.655837
0,252,687.186028
0,252,687.862699
0,252,688.369842
0,252,688.865127
0,252,689.372907
0,252,690.051747
0,252,690.559259
0,252,691.066368
0,252,691.590642
0,252,692.282428
0,252,692.786255
0,252,693.288713
0,252,693.800733
0,252,694.479035
0,252,694.995551
0,252,695.490757
0,252,695.9895
0,252,696.660412
0,252,697.161029
0,252,697.659807
0,252,698.166073
0,252,698.883496
0,252,699.394579
0,252,699.89548
0,252,700.405039
0,252,701.077154
0,252,701.586111
0,252,702.09078
0,252,702.60255
0,252,703.268618
0,252,703.782549
0,252,704.294259
0,252,704.796499
0,252,705.297367
0,252,705.985553
0,252,706.500976
0,252,707.008215
0,252,707.501419
0,252,708.163801
0,252,708.674828
0,252,709.182473
0,252,709.695168
0,252,710.36613
0,114,710.587716
0,252,711.093368
0,252,711.606905
0,252,712.315644
0,252,712.821491
0,252,713.329299
0,252,713.837823
0,252,714.504473
0,252,715.017287
0,252,715.535747
0,252,716.044119
0,252,716.719629
0,252,717.224909
0,252,717.729282
0,252,718.233576
0,252,718.93223
0,252,719.445361
0,252,719.951031
0,252,720.459057
0,252,720.961252
0,252,721.647918
0,252,722.157472
0,252,722.671143
0,252,723.181773
0,252,723.859257
0,252,724.367305
0,252,724.876249
0,252,725.386492
0,252,726.103108
0,252,726.616524
0,252,727.118843
0,252,727.627928
0,252,728.306269
0,252,728.809306
0,252,729.319234
0,252,729.82841
0,252,730.49499
0,252,731.002829
0,252,731.516231
0,252,732.026777
0,252,732.719651
0,252,733.226922
0,252,733.728539
0,252,734.235093
0,252,734.907069
0,252,735.414525
0,252,735.917423
0,252,736.4278
0,252,737.099973
0,252,737.603068
0,252,738.108897
0,252,738.613086
0,252,739.315406
0,252,739.822856
0,252,740.332277
0,252,740.844282
0,252,741.530897
0,252,742.044449
0,252,742.538217
0,252,743.045332
0,252,743.707391
0,252,744.21461
0,252,744.732893
0,252,745.239618
0,252,745.938718
0,252,746.442947
0,252,746.959598
0,252,747.466446
0,252,748.137847
0,252,748.649518
0,252,749.14946
0,252,749.651914
0,252,750.317096
0,252,750.825417
0,252,751.3308
0,252,751.853087
0,252,752.555667
0,252,753.062931
0,252,753.565453
0,252,754.068231
0,252,754.735039
0,252,755.249183
0,252,755.753864
0,252,756.258705
0,252,756.765007
0,252,757.433145
0,252,757.934906
0,252,758.429792
0,252,758.937866
0,252,759.629187
0,252,760.12646
0,252,760.625723
0,252,761.138832
0,252,761.816842
0,252,762.317677
0,252,762.821531
0,252,763.32952
0,252,763.995884
0,252,764.500959
0,252,765.010231
0,252,765.515723
0,252,766.2202
0,252,766.723187
0,252,767.228613
0,252,767.726018
0,252,768.401219
0,252,768.896307
0,252,769.40957
0,252,769.911164
0,252,770.586993
0,252,771.078369
0,252,771.583989
0,252,772.080512
0,252,772.784708
0,252,773.276756
0,252,773.785744
0,252,774.285847
